time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/12/8 16:00,20.9,6.65,6.78,144.4,10.9,3.83,0.089,0.039,1.08
2020/12/8 20:00,20.7,6.57,6.47,144,10.7,3.87,0.085,0.034,1.01
2020/12/9 0:00,20.4,6.51,6.01,143.7,11,3.87,0.085,0.034,1.01
2020/12/9 4:00,20.3,6.51,6.08,143.7,11,3.52,0.088,0.039,1.01
2020/12/9 8:00,20.1,6.55,6.28,143.9,11.1,3.46,0.093,0.038,1.07
2020/12/9 12:00,20.6,6.66,6.78,144.2,10,4,0.07,0.041,1.07
2020/12/9 16:00,21.3,6.65,6.85,144.4,9,3.94,0.075,0.04,1.08
2020/12/9 20:00,21.1,6.62,6.92,144.1,8.5,3.65,0.062,0.037,1.06
2020/12/10 0:00,20.9,6.61,6.79,144.1,7.5,3.65,0.062,0.037,1.06
2020/12/10 4:00,20.7,6.6,6.46,144.8,7.5,3.42,0.1,0.035,1.15
2020/12/10 8:00,20.4,6.6,6.56,144.2,8,3.68,0.068,0.035,1.16
2020/12/10 12:00,20.7,6.7,6.75,143.8,8,3.87,0.042,0.038,1.1
2020/12/10 16:00,21.5,6.76,7.66,144.6,7.2,4.22,0.039,0.039,1.1
2020/12/10 20:00,21.5,6.82,7.51,144.4,7.3,3.9,0.046,0.036,1.07
2020/12/11 0:00,21.2,6.53,6.45,144,6.9,3.9,0.046,0.036,1.07
2020/12/11 4:00,21,6.57,6.43,144.1,6,3.48,0.044,0.034,1.01
2020/12/11 8:00,20.7,6.77,7.22,144.1,8,3.82,0.04,0.035,1.13
2020/12/11 12:00,21,6.81,7.59,144,6.9,4.09,0.03,0.04,1.1
2020/12/11 16:00,21.2,6.71,7.56,144,6.4,3.86,0.033,0.036,1.01
2020/12/11 20:00,20.8,6.72,6.82,143.9,7.7,3.68,0.031,0.036,1.05
